DATE,GDPC1
1999/7/1,12679.977
1999/10/1,12888.281
2000/1/1,12935.252
2000/4/1,13170.749
2000/7/1,13183.89
2000/10/1,13262.25
2001/1/1,13219.251
2001/4/1,13301.394
2001/7/1,13248.142
2001/10/1,13284.881
2002/1/1,13394.91
2002/4/1,13477.356
2002/7/1,13531.741
2002/10/1,13549.421
2003/1/1,13619.434
2003/4/1,13741.107
2003/7/1,13970.157
2003/10/1,14131.379
2004/1/1,14212.34
2004/4/1,14323.017
2004/7/1,14457.832
2004/10/1,14605.595
2005/1/1,14767.846
2005/4/1,14839.707
2005/7/1,14956.291
2005/10/1,15041.232
2006/1/1,15244.088
2006/4/1,15281.525
2006/7/1,15304.517
2006/10/1,15433.643
2007/1/1,15478.956
2007/4/1,15577.779
2007/7/1,15671.605
2007/10/1,15767.146
2008/1/1,15702.906
2008/4/1,15792.773
2008/7/1,15709.562
2008/10/1,15366.607
2009/1/1,15187.475
2009/4/1,15161.772
2009/7/1,15216.647
2009/10/1,15379.155
2010/1/1,15456.059
2010/4/1,15605.628
2010/7/1,15726.282
2010/10/1,15807.995
2011/1/1,15769.911
2011/4/1,15876.839
2011/7/1,15870.684
2011/10/1,16048.702
2012/1/1,16179.968
2012/4/1,16253.726
2012/7/1,16282.151
2012/10/1,16300.035
2013/1/1,16441.485
2013/4/1,16464.402
2013/7/1,16594.743
2013/10/1,16712.76
2014/1/1,16654.247
2014/4/1,16868.109
2014/7/1,17064.616
2014/10/1,17141.235
2015/1/1,17280.647
2015/4/1,17380.875
2015/7/1,17437.08
2015/10/1,17462.579
2016/1/1,17565.465
2016/4/1,17618.581
2016/7/1,17724.489
2016/10/1,17812.56
2017/1/1,17889.094
2017/4/1,17979.218
2017/7/1,18127.994
2017/10/1,18310.3
2018/1/1,18437.127
2018/4/1,18565.697
2018/7/1,18699.748
2018/10/1,18733.741
2019/1/1,18835.411
2019/4/1,18962.175
2019/7/1,19130.932
2019/10/1,19215.691
2020/1/1,18989.877
2020/4/1,17378.712
2020/7/1,18743.72
2020/10/1,18924.262
2021/1/1,19216.224
2021/4/1,19544.248
2021/7/1,19672.594
2021/10/1,20006.181
2022/1/1,19924.088
2022/4/1,19895.271
2022/7/1,20054.663
2022/10/1,20182.491
2023/1/1,20282.76
2023/4/1,20386.467
